sqft,bedrooms,city,condition,built_year,last_sold,price
2822.0,5,austin,good,1956,2005-10-13,85000000
1817.0,2,dallas,excellent,1977,2013-02-20,359558
3076.0,5,nyc,fair,1943,2023-01-15,564134
2592.0,2,dallas,poor,1901,2012-11-08,277530
783.0,1,austin,excellent,1909,2009-12-25,271981
3427.0,5,miami,fair,2016,2002-03-20,781130
2783.0,3,austin,fair,1976,,560045
2858.0,5,dallas,fair,1933,2006-07-27,425322
884.0,3,miami,good,1932,2025-07-07,359603
1851.0,2,miami,excellent,1904,2013-12-03,487428
1612.0,2,nyc,good,2019,2003-05-17,384386
3280.0,5,nyc,good,1913,2001-01-10,491509
2432.0,5,seattle,fair,1995,,548960
,3,austin,fair,1930,,559385
,3,dallas,good,1942,2019-07-12,333786
1182.0,3,austin,poor,1934,2003-07-12,260842
2164.0,2,austin,fair,2003,2002-12-10,469906
691.0,1,dallas,fair,1904,2005-10-21,80162
2983.0,4,miami,poor,1944,2019-04-17,620131
2395.0,3,seattle,good,1935,2019-05-14,472171
2774.0,5,nyc,good,1934,,485420
1564.0,2,nyc,poor,1924,2002-05-16,285607
3412.0,3,nyc,good,2014,2003-06-05,639966
3179.0,5,austin,good,1947,2023-03-09,624931
2835.0,4,seattle,good,1952,2024-04-12,556931
,3,seattle,good,1948,2018-09-04,256477
1900.0,2,austin,fair,2023,2002-11-11,502922
631.0,1,miami,good,1942,,340492
963.0,2,seattle,fair,1943,2001-04-24,203253
2549.0,4,miami,fair,1941,2017-02-25,597070
2734.0,4,seattle,fair,1941,2021-02-01,423354
,4,seattle,good,1911,,585675
1477.0,3,miami,fair,1976,2006-07-18,435514
1611.0,1,austin,fair,1903,2019-11-11,291390
1909.0,3,dallas,good,1928,2001-11-14,309020
1068.0,1,dallas,fair,1925,2021-01-23,131380
890.0,2,miami,fair,1936,2023-09-11,332980
1927.0,2,miami,poor,1995,2018-04-02,498738
1181.0,1,miami,fair,1975,,345837
2509.0,4,austin,fair,2024,2015-07-08,578392
,3,dallas,fair,1944,2012-01-11,298278
2998.0,4,nyc,fair,2016,2008-05-07,541711
2601.0,5,austin,good,1905,2023-07-05,493732
1437.0,2,dallas,excellent,1963,2018-04-28,265747
2997.0,4,seattle,good,2000,2004-08-04,688271
2914.0,4,austin,good,1967,2024-06-20,631553
1662.0,2,miami,excellent,2017,2001-10-21,561303
1365.0,2,dallas,excellent,1939,,281459
2547.0,3,austin,good,1904,2004-01-26,444719
919.0,1,miami,excellent,1997,,456103
1100.0,3,miami,excellent,1908,2010-04-09,339630
522.0,1,austin,good,1996,2011-09-06,289566
2861.0,2,austin,good,1992,2017-02-17,584586
2495.0,5,austin,poor,2006,,557169
2615.0,6,nyc,poor,1960,2009-12-26,454440
2842.0,4,seattle,good,2012,2025-02-11,658010
1877.0,1,austin,good,1921,2012-04-07,365429
2206.0,3,dallas,fair,1954,2004-11-26,341815
919.0,1,dallas,good,1915,,89200
844.0,1,dallas,good,1996,2005-03-22,193309
2505.0,3,dallas,good,1989,2017-03-13,446575
1913.0,3,austin,poor,2001,2014-10-13,476503
2196.0,4,miami,fair,1996,2008-11-11,562106
2795.0,3,dallas,good,1938,2012-05-21,426782
2404.0,4,dallas,good,1908,2021-06-06,376855
2161.0,5,dallas,excellent,2017,,552354
2178.0,3,seattle,excellent,1962,2001-03-05,487185
1412.0,2,nyc,excellent,1911,2001-03-13,296168
592.0,1,miami,fair,2016,,479135
1810.0,3,dallas,fair,2025,,395503
1144.0,1,seattle,fair,1956,2022-10-20,286333
1726.0,3,seattle,good,1997,2015-06-26,440512
3060.0,4,austin,excellent,1904,2019-12-23,561574
1202.0,3,seattle,fair,1911,2015-01-07,234756
675.0,1,nyc,good,1934,2008-12-06,144505
1344.0,3,austin,fair,1982,2017-03-25,383936
1381.0,1,nyc,fair,1916,2016-01-14,225630
2486.0,4,austin,fair,1904,2018-09-03,469066
2171.0,3,austin,poor,1984,2004-07-24,479510
2852.0,3,austin,excellent,1997,2016-11-19,659608
2493.0,4,miami,fair,1993,2007-02-01,607244
1719.0,3,nyc,good,2000,2020-01-22,416502
2942.0,4,miami,good,2001,2020-07-18,792365
1001.0,1,austin,fair,1975,2016-11-18,314987
568.0,1,austin,fair,1965,2024-05-25,182981
770.0,1,seattle,good,2007,2013-10-14,305120
2667.0,4,seattle,fair,1943,,478960
1886.0,3,nyc,excellent,1912,2015-11-18,384133
984.0,1,austin,poor,1994,2020-07-06,318150
2003.0,2,seattle,good,1934,2002-09-05,385623
957.0,2,nyc,good,2023,2002-07-24,338182
2589.0,3,miami,fair,1952,,582276
1838.0,1,austin,fair,2007,2021-07-15,463120
1643.0,3,seattle,excellent,1905,2013-07-08,339775
1405.0,2,miami,fair,1983,2025-06-07,455361
2391.0,3,austin,fair,1956,2022-08-17,493123
1585.0,1,dallas,fair,1958,2014-10-23,179176
763.0,2,miami,fair,1933,2017-12-13,299007
854.0,1,austin,good,2022,2008-08-04,365229
3386.0,6,dallas,good,1949,2002-02-07,521095
3226.0,5,miami,fair,2007,2010-08-05,773119
2599.0,4,seattle,good,1953,2015-04-25,525448
1298.0,2,austin,fair,1906,2004-01-09,232450
3408.0,6,miami,poor,2010,2005-01-11,742187
2836.0,5,seattle,good,1923,2000-08-02,497871
2651.0,5,seattle,excellent,1934,2019-12-13,563474
1848.0,2,seattle,poor,2008,2023-07-26,497697
1317.0,2,austin,fair,2012,2021-06-12,447251
789.0,1,seattle,good,2015,2009-02-19,274748
3208.0,5,seattle,good,1953,2015-09-06,598537
1867.0,4,dallas,poor,1995,2024-01-05,334265
1107.0,1,miami,fair,1941,2015-11-21,360146
1418.0,2,miami,good,1993,2007-10-02,480573
2238.0,3,miami,fair,1963,2008-12-13,515121
,1,dallas,fair,1906,2018-04-09,117345
3070.0,5,seattle,fair,1952,2011-02-01,572385
,2,seattle,fair,1958,2021-04-15,534027
2658.0,3,dallas,good,1932,2022-10-27,386005
1796.0,2,seattle,excellent,1947,2000-03-02,371458
2382.0,2,dallas,good,1963,2018-11-23,304611
2252.0,2,nyc,good,1906,2009-02-16,345862
2450.0,3,miami,excellent,1919,2013-01-21,566908
753.0,1,miami,fair,1996,2006-03-03,312507
1747.0,3,austin,fair,1944,2009-10-25,382799
625.0,1,nyc,excellent,1976,2008-08-01,213394
1982.0,2,dallas,fair,1971,2001-05-26,228155
1490.0,2,dallas,good,1969,2020-08-19,274797
934.0,2,austin,good,1952,2003-08-10,246910
810.0,1,seattle,poor,1960,2009-07-01,207240
2263.0,3,austin,good,2003,2005-07-18,519590
1012.0,2,nyc,fair,2021,2004-02-03,309261
3275.0,5,seattle,fair,1932,2009-04-18,559832
2243.0,4,austin,good,1984,2023-07-22,537850
1541.0,2,miami,fair,2022,2024-02-08,551078
2273.0,4,miami,good,1900,2009-06-07,512756
568.0,1,dallas,excellent,1998,2013-02-07,126229
3376.0,5,nyc,good,1962,2025-10-07,574916
1947.0,3,miami,fair,2021,,573149
2848.0,3,miami,fair,1972,2024-02-07,654066
748.0,1,miami,fair,2005,2002-08-19,368003
1960.0,3,seattle,poor,1920,2005-03-09,349252
1972.0,3,nyc,excellent,1917,2008-05-22,359943
3313.0,4,dallas,fair,2016,2000-04-23,550514
2215.0,3,seattle,fair,1966,2021-03-22,438495
1920.0,4,seattle,good,1970,2022-10-16,446796
,1,seattle,fair,1921,2009-09-09,256286
1495.0,1,nyc,poor,1928,2021-03-27,300206
2062.0,2,dallas,fair,2003,,379003
1817.0,4,nyc,good,1938,2020-09-14,362093
565.0,1,dallas,good,1973,2020-07-13,146094
2979.0,5,dallas,fair,1939,2014-07-21,448792
3188.0,4,miami,excellent,1933,2002-12-16,680422
921.0,1,seattle,excellent,1920,2024-06-23,208707
2162.0,3,miami,good,2017,2015-05-26,633005
,1,dallas,fair,2018,2023-07-11,201730
2517.0,4,miami,poor,1914,2024-11-25,493935
1344.0,2,dallas,excellent,1944,2004-09-05,207377
2478.0,4,nyc,fair,1971,2010-01-26,422364
2681.0,4,dallas,good,1948,2005-06-05,433438
2806.0,5,miami,good,1990,2001-09-24,693822
823.0,2,dallas,poor,1932,2025-03-11,80005
3248.0,3,dallas,good,1907,,465075
1191.0,1,seattle,excellent,1942,2024-10-04,257375
612.0,2,dallas,good,1975,,118666
2165.0,4,austin,fair,1922,2016-01-26,445024
1613.0,1,dallas,excellent,2002,2013-07-02,387441
2989.0,3,miami,good,1901,2025-07-08,610461
2925.0,4,austin,good,1908,2014-08-03,576633
1451.0,3,dallas,good,1964,2016-11-09,217370
3359.0,6,austin,good,1964,2005-05-11,625733
1373.0,2,miami,fair,1937,2019-07-18,423134
2045.0,3,nyc,poor,1932,2021-09-08,393130
1268.0,1,seattle,fair,1908,2017-10-05,254708
3308.0,5,dallas,good,1983,2012-10-05,551796
994.0,1,seattle,good,1947,2005-05-27,175959
635.0,1,dallas,good,1914,2000-12-27,5885
1805.0,4,nyc,fair,1950,2016-01-07,351675
3477.0,6,miami,good,2018,2017-06-06,852026
3175.0,5,nyc,excellent,1932,,549701
2746.0,3,nyc,fair,2012,2024-01-27,577964
3172.0,5,miami,good,1932,2012-06-20,691168
3180.0,5,dallas,good,1923,2021-08-22,520073
2057.0,3,miami,good,1932,2018-08-09,525075
1448.0,3,seattle,fair,1940,2007-02-18,336003
2816.0,5,seattle,good,1915,2021-04-02,523354
2485.0,4,seattle,excellent,1974,2001-03-19,518368
1621.0,3,austin,good,1942,2015-08-17,417292
783.0,1,miami,excellent,1990,2024-04-10,379268
2740.0,2,austin,excellent,1961,2017-07-20,661866
1287.0,2,nyc,fair,1955,2024-09-19,283471
3310.0,4,seattle,good,1959,2001-10-13,610936
1223.0,1,austin,good,1919,2013-03-06,303758
